1.1.1.1:443#移动专用三网自测
43.199.74.172:443#HK 1 236.52 Mbps | AWS
223.4.74.112:443#HK 2 83.57 Mbps | Alibaba
38.207.185.40:443#HK 3 82.57 Mbps | VMISS
8.134.67.173:443#HK 4 57.12 Mbps | Alibaba
149.104.25.82:42807#HK 5 24.09 Mbps | LUCID-AS-AP LUCIDACLOUD LIMITED
43.159.5.182:443#SG 1 303.29 Mbps | Tencent
43.159.1.84:443#SG 2 296.13 Mbps | Tencent
43.159.12.219:443#SG 3 290.99 Mbps | Tencent
43.159.5.214:443#SG 4 276.07 Mbps | Tencent
43.159.12.89:443#SG 5 274.86 Mbps | Tencent
45.94.40.32:443#JP 1 257.66 Mbps | xTom
216.23.84.29:443#JP 2 173.32 Mbps | BITSFLOWCLOUD
103.238.129.21:443#JP 3 100.17 Mbps | WAP-AC - WAP.AC LLC
151.242.125.137:50063#JP 4 24.28 Mbps | AkileCloud
151.242.125.137:50064#JP 5 23.04 Mbps | AkileCloud
75.2.58.141:443#US 1 181.01 Mbps | AWS
75.2.79.84:443#US 2 160.99 Mbps | AWS
15.197.162.87:443#US 3 152.72 Mbps | AWS
166.117.43.102:443#US 4 133.28 Mbps | AWS
99.83.207.43:443#US 5 128.69 Mbps | AWS
